year,nuclear_gwh,coal_gwh,oil_gwh,gas_gwh,new_renewable_gwh,pumped_hydro_gwh,other_gwh,total_gwh
2014,156407,203446,24950,114654,17446,5068,0,521971
2015,164762,204230,31616,100783,23050,3650,0,528091
2016,161995,213803,14001,121018,25837,3787,0,540441
2017,148427,238799,8358,122785,30817,4186,157,553530
2018,133505,238967,5740,152787,35598,3911,138,570647
2019,145910,227384,3292,144355,38641,3458,7681,570721
2020,160184,196333,2255,145911,36527,3271,3316,547797
2021,158015,197966,2354,168378,43096,3683,3316,576809
2022,176054,193231,1966,163575,53182,3715,2678,594400
2023,180494,184927,1487,157749,56562,3784,3044,588047
2024,188754,167152,1204,167205,63193,4677,3416,595601
