code,name,population
00,전국,51117378
11,서울특별시,9299548
11110,종로구,137048
11140,중구,117805
11170,용산구,201894
11200,성동구,274606
11215,광진구,331167
11230,동대문구,346241
11260,중랑구,376916
11290,성북구,422559
11305,강북구,278928
11320,도봉구,299899
11350,노원구,483541
11380,은평구,455137
11410,서대문구,300147
11440,마포구,357616
11470,양천구,425088
11500,강서구,549711
11530,구로구,383829
11545,금천구,223290
11560,영등포구,371362
11590,동작구,371924
11620,관악구,477605
11650,서초구,414428
11680,강남구,556330
11710,송파구,643350
11740,강동구,499127
26,부산광역시,3241600
26110,중구,36518
26140,서구,101892
26170,동구,83851
26200,영도구,101580
26230,부산진구,365378
26260,동래구,273277
26290,남구,250668
26320,북구,262862
26350,해운대구,372604
26380,사하구,286222
26410,금정구,206588
26440,강서구,150299
26470,연제구,211727
26500,수영구,169112
26530,사상구,194124
26710,기장군,174898
27,대구광역시,2353032
27110,중구,101007
27140,동구,339281
27170,서구,163956
27200,남구,135542
27230,북구,409854
27260,수성구,409222
27290,달서구,517059
27710,달성군,254659
27720,군위군,22452
28,인천광역시,3051961
28110,중구,176467
28114,중구영종출장소,0
28118,중구용유출장소,0
28140,동구,56477
28177,미추홀구,417578
28185,연수구,409437
28200,남동구,480147
28237,부평구,490442
28245,계양구,277721
28260,서구,654358
28265,서구검단출장소,0
28710,강화군,69698
28720,옹진군,19636
29,광주광역시,1392013
29110,동구,104888
29140,서구,275063
29155,남구,207596
29170,북구,416862
29200,광산구,387604
30,대전광역시,1440729
30110,동구,218664
30140,중구,225645
30170,서구,463351
30200,유성구,367534
30230,대덕구,165535
31,울산광역시,1091948
31110,중구,204169
31140,남구,304128
31170,동구,149257
31200,북구,215220
31710,울주군,219174
36,세종특별자치시,391965
36110,세종특별자치시,391965
41,경기도,13730135
41105,북부출장소,0
41110,수원시,1186515
41111,장안구,271136
41113,권선구,361064
41115,팔달구,191822
41117,영통구,362493
41130,성남시,905794
41131,수정구,232389
41133,중원구,203572
41135,분당구,469833
41150,의정부시,461572
41170,안양시,563279
41171,만안구,233749
41173,동안구,329530
41190,부천시,758796
41192,원미구,384561
41194,소사구,225458
41196,오정구,148777
41210,광명시,293947
41220,평택시,610402
41222,송탄출장소,0
41224,안중출장소,0
41250,동두천시,86438
41270,안산시,612508
41271,상록구,322739
41273,단원구,289769
41280,고양시,1060081
41281,덕양구,485546
41285,일산동구,296758
41287,일산서구,277777
41290,과천시,79908
41310,구리시,186090
41360,남양주시,729754
41362,풍양출장소,0
41370,오산시,249410
41390,시흥시,515032
41410,군포시,251367
41430,의왕시,160370
41450,하남시,327939
41460,용인시,1091186
41461,처인구,282044
41463,기흥구,435048
41465,수지구,374094
41480,파주시,526005
41500,이천시,222967
41550,안성시,196592
41570,김포시,484792
41590,화성시,989969
41592,화성시동부출장소,0
41594,화성시동탄출장소,0
41610,광주시,397346
41630,양주시,296224
41650,포천시,140452
41670,여주시,114002
41800,연천군,42340
41820,가평군,62125
41830,양평군,126933
51,강원특별자치도,1508500
51105,동해출장소,0
51110,춘천시,285234
51130,원주시,363194
51150,강릉시,206237
51170,동해시,86333
51190,태백시,37088
51210,속초시,79636
51230,삼척시,60518
51720,홍천군,66109
51730,횡성군,45627
51750,영월군,36054
51760,평창군,39831
51770,정선군,34879
51780,철원군,39979
51790,화천군,22371
51800,양구군,20410
51810,인제군,30863
51820,고성군,26845
51830,양양군,27292
43,충청북도,1596502
43110,청주시,856152
43111,상당구,194551
43112,서원구,182689
43113,흥덕구,292051
43114,청원구,186861
43130,충주시,206540
43150,제천시,128003
43720,보은군,30529
43730,옥천군,49601
43740,영동군,43032
43745,증평군,36680
43750,진천군,86580
43760,괴산군,38293
43770,음성군,94280
43800,단양군,26812
44,충청남도,2136753
44130,천안시,664322
44131,동남구,262470
44133,서북구,401852
44150,공주시,99979
44180,보령시,92117
44200,아산시,359378
44210,서산시,172438
44230,논산시,106777
44250,계룡시,45846
44270,당진시,172564
44710,금산군,48898
44760,부여군,58377
44770,서천군,47225
44790,청양군,29986
44800,홍성군,100557
44810,예산군,78815
44825,태안군,59474
52,전북특별자치도,1724856
52110,전주시,625437
52111,완산구,316419
52113,덕진구,309018
52130,군산시,256291
52140,익산시,267066
52180,정읍시,101123
52190,남원시,74272
52210,김제시,81676
52710,완주군,100444
52720,진안군,24249
52730,무주군,22787
52740,장수군,20922
52750,임실군,25259
52770,순창군,27714
52790,고창군,50396
52800,부안군,47220
46,전라남도,1779135
46110,목포시,202003
46130,여수시,263284
46150,순천시,275492
46170,나주시,117076
46230,광양시,155259
46710,담양군,44177
46720,곡성군,27287
46730,구례군,23803
46770,고흥군,59455
46780,보성군,36858
46790,화순군,60215
46800,장흥군,34201
46810,강진군,31799
46820,해남군,62188
46830,영암군,50069
46840,무안군,95592
46860,함평군,29458
46870,영광군,53526
46880,장성군,42958
46890,완도군,44613
46900,진도군,27964
46910,신안군,41858
47,경상북도,2506526
47110,포항시,488707
47111,남구,215206
47113,북구,273501
47130,경주시,244055
47150,김천시,133791
47170,안동시,152610
47190,구미시,403883
47210,영주시,97162
47230,영천시,95185
47250,상주시,89888
47280,문경시,65348
47290,경산시,263853
47730,의성군,47902
47750,청송군,23363
47760,영양군,15941
47770,영덕군,32698
47820,청도군,40117
47830,고령군,29667
47840,성주군,40720
47850,칠곡군,104842
47900,예천군,53887
47920,봉화군,28315
47930,울진군,45896
47940,울릉군,8696
48,경상남도,3207383
48120,창원시(통합),990898
48121,의창구,207141
48123,성산구,246904
48125,마산합포구,175800
48127,마산회원구,176275
48129,진해구,184778
48170,진주시,335939
48220,통영시,116667
48240,사천시,107935
48245,사천남양출장소,0
48250,김해시,533035
48252,장유출장소,0
48270,밀양시,99252
48310,거제시,231178
48330,양산시,361155
48332,양산시웅상출장소,0
48720,의령군,24636
48730,함안군,57558
48740,창녕군,54900
48820,고성군,47099
48840,남해군,40770
48850,하동군,39974
48860,산청군,32745
48870,함양군,35472
48880,거창군,58980
48890,합천군,39190
50,제주특별자치도,664792
50110,제주시,485182
50130,서귀포시,179610
