iso3,location,location_type,year,population_thousands,birth_rate_per_1000,death_rate_per_1000,growth_percent,net_migration_thousands,net_migration_rate_per_1000
,Africa,Geographic region,1950,227776.419,47.76,26.896,2.052,-79.639,-0.35
,Africa,Geographic region,1970,365551.873,46.915,20.117,2.653,-98.836,-0.27
,Africa,Geographic region,1990,643775.03,41.922,14.538,2.729,-63.574,-0.099
,Africa,Geographic region,2010,1072216.495,37.013,10.029,2.605,-998.429,-0.931
,Africa,Geographic region,2020,1380821.17,32.136,8.352,2.396,248.32,0.18
,Africa,Geographic region,2025,1549867.579,30.377,7.551,2.258,-377.785,-0.244
BDI,Burundi,Country/Area,2025,14390.002,32.573,6.624,2.354,-34.727,-2.413
COM,Comoros,Country/Area,2025,882.848,27.779,7.031,1.835,-2.127,-2.409
DJI,Djibouti,Country/Area,2025,1184.076,20.675,7.507,1.268,-0.581,-0.49
ERI,Eritrea,Country/Area,2025,3607.003,28.632,5.941,2.084,-6.698,-1.857
ETH,Ethiopia,Country/Area,2025,135472.051,30.831,5.8,2.521,24.054,0.178
KEN,Kenya,Country/Area,2025,57532.492,26.782,7.149,1.916,-27.33,-0.475
MDG,Madagascar,Country/Area,2025,32740.678,31.255,7.415,2.377,-2.227,-0.068
MWI,Malawi,Country/Area,2025,22216.12,30.848,5.237,2.536,-5.628,-0.253
MUS,Mauritius,Country/Area,2025,1268.28,8.994,9.238,-0.243,-2.784,-2.195
MYT,Mayotte,Country/Area,2025,337.011,33.701,2.659,3.117,0.044,0.131
MOZ,Mozambique,Country/Area,2025,35631.653,36.608,6.826,2.794,-65.573,-1.84
REU,Réunion,Country/Area,2025,882.406,13.024,5.782,0.431,-2.585,-2.929
RWA,Rwanda,Country/Area,2025,14569.34,27.737,5.853,2.232,6.282,0.431
SYC,Seychelles,Country/Area,2025,132.779,13.343,8.103,1.73,1.59,11.973
SOM,Somalia,Country/Area,2025,19654.739,41.833,9.655,3.28,12.077,0.614
SSD,South Sudan,Country/Area,2025,12188.788,29.348,9.861,1.999,6.145,0.504
UGA,Uganda,Country/Area,2025,51384.894,33.756,4.708,2.673,-119.059,-2.317
TZA,United Republic of Tanzania,Country/Area,2025,70545.865,34.294,5.656,2.846,-12.73,-0.18
ZMB,Zambia,Country/Area,2025,21913.874,32.351,5.132,2.752,6.562,0.299
ZWE,Zimbabwe,Country/Area,2025,16950.795,29.54,7.392,1.893,-54.555,-3.218
AGO,Angola,Country/Area,2025,39040.039,36.624,6.759,2.978,-3.524,-0.09
CMR,Cameroon,Country/Area,2025,29879.337,32.821,6.911,2.54,-15.379,-0.515
CAF,Central African Republic,Country/Area,2025,5513.282,45.361,9.268,3.343,-14.693,-2.665
TCD,Chad,Country/Area,2025,21003.705,43.198,11.066,2.627,-123.104,-5.861
COG,Congo,Country/Area,2025,6484.437,30.155,6.207,2.349,-2.999,-0.463
COD,Democratic Republic of the Congo,Country/Area,2025,112832.473,40.411,8.333,3.184,-27.309,-0.242
GNQ,Equatorial Guinea,Country/Area,2025,1938.431,29.586,7.804,2.375,3.812,1.967
GAB,Gabon,Country/Area,2025,2593.13,26.646,6.182,2.089,1.116,0.43
STP,Sao Tome and Principe,Country/Area,2025,240.254,27.837,5.489,1.97,-0.65,-2.707
DZA,Algeria,Country/Area,2025,47435.312,18.034,4.645,1.281,-27.531,-0.58
EGY,Egypt,Country/Area,2025,118365.994,20.699,5.55,1.466,-57.305,-0.484
LBY,Libya,Country/Area,2025,7458.554,16.112,5.619,1.047,-0.172,-0.023
MAR,Morocco,Country/Area,2025,38430.77,16.108,5.813,0.883,-56.254,-1.464
SDN,Sudan,Country/Area,2025,51662.148,32.063,6.238,3.147,291.469,5.642
TUN,Tunisia,Country/Area,2025,12348.573,12.998,6.215,0.561,-14.523,-1.176
ESH,Western Sahara,Country/Area,2025,600.904,15.031,6.514,1.689,5.03,8.37
BWA,Botswana,Country/Area,2025,2562.122,23.881,5.747,1.592,-5.665,-2.211
SWZ,Eswatini,Country/Area,2025,1256.174,23.251,7.757,1.089,-5.775,-4.597
LSO,Lesotho,Country/Area,2025,2363.325,23.456,10.314,1.094,-5.192,-2.197
NAM,Namibia,Country/Area,2025,3092.816,25.442,6.183,1.986,1.866,0.603
ZAF,South Africa,Country/Area,2025,64747.319,18.159,9.274,1.115,146.37,2.261
BEN,Benin,Country/Area,2025,14814.46,33.046,8.633,2.389,-7.847,-0.53
BFA,Burkina Faso,Country/Area,2025,24074.58,30.808,7.838,2.184,-27.13,-1.127
CPV,Cabo Verde,Country/Area,2025,527.326,12.069,5.149,0.45,-1.284,-2.434
CIV,Côte d'Ivoire,Country/Area,2025,32711.547,31.107,7.555,2.39,11.305,0.346
GMB,Gambia,Country/Area,2025,2822.093,29.253,6.211,2.199,-2.984,-1.058
GHA,Ghana,Country/Area,2025,35064.272,25.607,6.987,1.813,-17.079,-0.487
GIN,Guinea,Country/Area,2025,15099.727,32.752,8.932,2.274,-16.282,-1.078
GNB,Guinea-Bissau,Country/Area,2025,2249.515,29.103,6.977,2.152,-1.373,-0.611
LBR,Liberia,Country/Area,2025,5731.206,30.267,7.97,2.058,-9.87,-1.722
MLI,Mali,Country/Area,2025,25198.821,39.17,8.376,2.889,-48.019,-1.906
MRT,Mauritania,Country/Area,2025,5315.065,33.659,5.317,2.739,-5.044,-0.949
NER,Niger,Country/Area,2025,27917.831,40.769,8.581,3.191,-7.704,-0.276
NGA,Nigeria,Country/Area,2025,237527.782,32.167,11.558,2.055,-15.258,-0.064
SHN,Saint Helena,Country/Area,2025,5.197,7.182,17.134,-0.751,0.001,0.192
SEN,Senegal,Country/Area,2025,18931.966,28.931,5.437,2.283,-12.636,-0.667
SLE,Sierra Leone,Country/Area,2025,8819.794,29.512,8.126,2.01,-11.309,-1.282
TGO,Togo,Country/Area,2025,9721.608,30.453,7.61,2.13,-15.01,-1.544
,Asia,Geographic region,1950,1368075.415,41.711,22.83,1.921,444.437,0.325
,Asia,Geographic region,1970,2137559.039,37.992,13.534,2.448,53.359,0.025
,Asia,Geographic region,1990,3209882.612,28.043,8.452,1.907,-1662.242,-0.518
,Asia,Geographic region,2010,4239822.673,18.773,6.775,1.17,-1253.476,-0.296
,Asia,Geographic region,2020,4688113.371,14.728,7.221,0.713,-1766.619,-0.377
,Asia,Geographic region,2025,4835320.06,13.477,7.185,0.58,-2389.647,-0.494
KAZ,Kazakhstan,Country/Area,2025,20843.754,18.952,6.743,1.179,-8.834,-0.424
KGZ,Kyrgyzstan,Country/Area,2025,7295.034,20.491,6.042,1.47,1.815,0.249
TJK,Tajikistan,Country/Area,2025,10786.734,24.522,4.612,1.791,-21.606,-2.003
TKM,Turkmenistan,Country/Area,2025,7618.848,20.034,5.88,1.59,13.268,1.742
UZB,Uzbekistan,Country/Area,2025,37053.428,24.592,6.042,1.836,-6.987,-0.189
CHN,China,Country/Area,2025,1416096.094,6.15,8.274,-0.231,-268.126,-0.189
HKG,"China, Hong Kong SAR",Country/Area,2025,7396.076,5.268,7.864,-0.018,17.863,2.415
MAC,"China, Macao SAR",Country/Area,2025,722.007,6.275,4.851,0.097,-0.328,-0.455
TWN,"China, Taiwan Province of China",Country/Area,2025,23112.793,5.422,8.916,-0.44,-20.947,-0.906
PRK,Dem. People's Republic of Korea,Country/Area,2025,26571.036,12.603,9.962,0.254,-2.787,-0.105
JPN,Japan,Country/Area,2025,123103.479,6.078,12.604,-0.538,140.579,1.142
MNG,Mongolia,Country/Area,2025,3517.1,17.466,5.953,1.154,0.079,0.023
KOR,Republic of Korea,Country/Area,2025,51667.029,4.759,7.194,-0.116,65.731,1.272
AFG,Afghanistan,Country/Area,2025,43844.112,34.391,5.608,2.709,-74.404,-1.697
BGD,Bangladesh,Country/Area,2025,175686.9,19.587,5.122,1.218,-402.1,-2.289
BTN,Bhutan,Country/Area,2025,796.682,12.346,6.036,0.687,0.455,0.572
IND,India,Country/Area,2025,1463865.525,15.762,6.638,0.879,-495.753,-0.339
IRN,Iran (Islamic Republic of),Country/Area,2025,92417.681,12.175,4.848,0.859,116.786,1.264
MDV,Maldives,Country/Area,2025,529.676,10.2,2.41,0.348,-2.283,-4.311
NPL,Nepal,Country/Area,2025,29618.118,18.625,6.99,-0.068,-364.699,-12.313
PAK,Pakistan,Country/Area,2025,255219.554,27.073,6.428,1.58,-1235.336,-4.84
LKA,Sri Lanka,Country/Area,2025,23229.47,13.711,7.155,0.523,-30.724,-1.323
BRN,Brunei Darussalam,Country/Area,2025,466.33,12.999,5.446,0.753,0,0
KHM,Cambodia,Country/Area,2025,17847.982,19.869,6.511,1.159,-31.469,-1.763
IDN,Indonesia,Country/Area,2025,285721.236,15.543,7.711,0.769,-39.509,-0.138
LAO,Lao People's Democratic Republic,Country/Area,2025,7873.046,20.497,6.169,1.298,-10.645,-1.352
MYS,Malaysia,Country/Area,2025,35977.838,12.223,5.361,1.149,166.615,4.631
MMR,Myanmar,Country/Area,2025,54850.648,16.195,9.239,0.623,-39.661,-0.723
PHL,Philippines,Country/Area,2025,116786.962,15.804,6.465,0.806,-149.315,-1.279
SGP,Singapore,Country/Area,2025,5870.75,8.49,5.087,0.628,16.892,2.877
THA,Thailand,Country/Area,2025,71619.863,7.992,9.129,-0.075,27.509,0.384
TLS,Timor-Leste,Country/Area,2025,1418.517,21.602,7.16,1.264,-2.55,-1.797
VNM,Viet Nam,Country/Area,2025,101598.527,13.075,6.726,0.588,-48.171,-0.474
ARM,Armenia,Country/Area,2025,2952.365,11.833,9.372,-0.737,-29.013,-9.827
AZE,Azerbaijan,Country/Area,2025,10397.713,11.55,6.745,0.564,8.731,0.84
BHR,Bahrain,Country/Area,2025,1643.332,11.926,2.221,2.074,18.128,11.031
CYP,Cyprus,Country/Area,2025,1370.754,10.179,7.039,0.879,7.749,5.653
GEO,Georgia,Country/Area,2025,3806.671,11.057,11.829,-0.044,1.283,0.337
IRQ,Iraq,Country/Area,2025,47020.774,25.256,4.194,2.104,-1.064,-0.023
ISR,Israel,Country/Area,2025,9517.18,18.008,5.564,1.365,11.466,1.205
JOR,Jordan,Country/Area,2025,11520.684,20.142,3.214,-0.94,-303.267,-26.324
KWT,Kuwait,Country/Area,2025,5026.078,9.7,1.814,1.64,42.775,8.511
LBN,Lebanon,Country/Area,2025,5849.42,15.82,6.109,0.796,-10.23,-1.749
OMN,Oman,Country/Area,2025,5494.691,16.403,1.881,3.522,113.734,20.699
QAT,Qatar,Country/Area,2025,3115.888,9.607,1.037,2.022,36.288,11.646
SAU,Saudi Arabia,Country/Area,2025,34566.328,16.342,2.329,1.748,119.738,3.464
PSE,State of Palestine,Country/Area,2025,5589.623,25.921,4.189,1.759,-23.156,-4.143
SYR,Syrian Arab Republic,Country/Area,2025,25620.427,23.475,4.842,3.51,421.693,16.459
TUR,Türkiye,Country/Area,2025,87685.426,12.012,6.57,0.25,-258.205,-2.945
ARE,United Arab Emirates,Country/Area,2025,11346,10.052,0.964,2.307,158.634,13.981
YEM,Yemen,Country/Area,2025,41773.878,33.546,4.679,2.848,-16.291,-0.39
,Europe,Geographic region,1950,548867.473,22.169,11.772,0.941,-539.881,-0.984
,Europe,Geographic region,1970,656998.548,16.081,9.99,0.494,-757.514,-1.153
,Europe,Geographic region,1990,724139.404,12.896,10.633,0.362,981.962,1.356
,Europe,Geographic region,2010,738145.318,11.158,11.061,0.161,1119.29,1.516
,Europe,Geographic region,2020,749524.044,9.269,12.286,-0.107,1459.606,1.947
,Europe,Geographic region,2025,744398.832,8.339,11.368,-0.104,1478.09,1.986
BLR,Belarus,Country/Area,2025,8997.603,6.928,13.236,-0.664,-3.02,-0.336
BGR,Bulgaria,Country/Area,2025,6714.56,8.992,15.283,-0.673,-2.961,-0.441
CZE,Czechia,Country/Area,2025,10609.24,8.193,10.989,-1.337,-112.188,-10.575
HUN,Hungary,Country/Area,2025,9632.287,8.752,13.34,-0.628,-16.331,-1.695
POL,Poland,Country/Area,2025,38140.91,7.797,10.961,-1.184,-330.82,-8.674
MDA,Republic of Moldova,Country/Area,2025,2996.106,10.35,14.031,-1.362,-29.766,-9.935
ROU,Romania,Country/Area,2025,18908.65,9.439,13.581,-0.568,-29.041,-1.536
RUS,Russian Federation,Country/Area,2025,143997.393,8.624,12.957,-0.608,-251.822,-1.749
SVK,Slovakia,Country/Area,2025,5474.881,9.065,10.296,-0.696,-31.377,-5.731
UKR,Ukraine,Country/Area,2025,38980.376,5.649,13.345,3.598,1702.358,43.672
DNK,Denmark,Country/Area,2025,6002.507,9.867,9.688,0.386,22.103,3.682
EST,Estonia,Country/Area,2025,1344.232,7.89,12.297,-1.433,-13.35,-9.932
FRO,Faroe Islands,Country/Area,2025,56.002,12.775,9.771,0.998,0.386,6.896
FIN,Finland,Country/Area,2025,5623.33,7.811,10.79,0.027,18.246,3.245
GGY,Guernsey,Country/Area,2025,64.476,8.146,9.513,0.265,0.254,3.944
ISL,Iceland,Country/Area,2025,398.266,10.965,6.649,1.112,2.709,6.802
IRL,Ireland,Country/Area,2025,5308.039,9.912,7.003,0.958,35.417,6.672
