iso3,location,location_type,year,urban_share,urban_population,rural_population,urban_growth,rural_growth
,AFRICA,Geographic region,1950,14.578,33205.139,194571.276,4.0992,1.7022
,AFRICA,Geographic region,1970,22.7981,83338.76,282213.116,4.7046,2.047
,AFRICA,Geographic region,1990,32.3554,208295.789,435479.241,4.199,2.0252
,AFRICA,Geographic region,2010,40.3132,432244.723,639971.777,3.5552,1.9639
,AFRICA,Geographic region,2020,44.261,611165.403,769655.765,3.3129,1.6687
,AFRICA,Geographic region,2025,46.4304,719609.067,830258.516,3.2322,1.4142
,ASIA,Geographic region,1950,15.9475,218173.604,1149901.819,6.084,1.1335
,ASIA,Geographic region,1970,23.5778,503989.351,1633569.693,3.2365,2.2053
,ASIA,Geographic region,1990,31.7737,1019898.632,2189983.984,2.7779,1.501
,ASIA,Geographic region,2010,44.7862,1898854.144,2340968.526,2.7474,-0.1123
,ASIA,Geographic region,2020,51.89,2432662.612,2255450.759,1.5902,-0.2339
,ASIA,Geographic region,2025,53.6051,2591977.38,2243342.681,1.1308,-0.0569
,EUROPE,Geographic region,1950,51.2501,281294.92,267572.556,2.0385,-0.2125
,EUROPE,Geographic region,1970,63.3181,415999.108,240999.443,1.2791,-0.8614
,EUROPE,Geographic region,1990,70.3606,509508.482,214630.92,0.5444,-0.0711
,EUROPE,Geographic region,2010,72.9962,538817.857,199327.466,0.4021,-0.4893
,EUROPE,Geographic region,2020,74.6574,559574.845,189949.197,0.0495,-0.5678
,EUROPE,Geographic region,2025,75.3897,561200.001,183198.832,0.0959,-0.7181
,LATIN AMERICA AND THE CARIBBEAN,Geographic region,1950,42.1027,70640.818,97141.344,4.1475,1.4206
,LATIN AMERICA AND THE CARIBBEAN,Geographic region,1970,56.5093,161470.242,124270.689,3.8806,0.5645
,LATIN AMERICA AND THE CARIBBEAN,Geographic region,1990,70.7893,312806.983,129077.673,2.5601,0.215
,LATIN AMERICA AND THE CARIBBEAN,Geographic region,2010,78.3985,461695.104,127212.74,1.3294,0.1116
,LATIN AMERICA AND THE CARIBBEAN,Geographic region,2020,80.4546,520323.796,126405.59,0.8795,-0.387
,LATIN AMERICA AND THE CARIBBEAN,Geographic region,2025,81.52,544462.509,123426.043,0.9386,-0.6346
,NORTHERN AMERICA,Geographic region,1950,63.8222,107227.197,60782.141,2.6109,-0.3803
,NORTHERN AMERICA,Geographic region,1970,73.7309,169094.208,60245.378,1.4899,1.1094
,NORTHERN AMERICA,Geographic region,1990,75.4021,212092.781,69189.591,1.5301,0.3254
,NORTHERN AMERICA,Geographic region,2010,80.735,278847.446,66538.606,1.0089,0.9276
,NORTHERN AMERICA,Geographic region,2020,80.1995,302941.102,74793.248,0.2431,0.2113
,NORTHERN AMERICA,Geographic region,2025,80.4747,311862.277,75666.127,0.6653,0.1189
,OCEANIA,Geographic region,1950,59.0204,7425.97,5156.073,3.8919,1.0888
,OCEANIA,Geographic region,1970,70.8515,13811.665,5682.147,3.8371,0.2088
,OCEANIA,Geographic region,1990,71.1403,19093.374,7745.661,1.8271,1.9656
,OCEANIA,Geographic region,2010,67.8336,25270.567,11983.2,1.5341,2.0405
,OCEANIA,Geographic region,2020,67.4799,29744.461,14334.511,0.869,1.5233
,OCEANIA,Geographic region,2025,67.627,31520.709,15088.934,1.2305,0.8509
ABW,Aruba,Country/Area,2025,61.7485249229588,66.7791772484323,41.3678227515677,-0.0201,0.1557
AFG,Afghanistan,Country/Area,2025,25.9401644699898,11373.2347632065,32470.8772367935,3.6911,2.3646
AGO,Angola,Country/Area,2025,71.4615915176085,27898.633198495,11141.405801505,4.1082,0.1465
AIA,Anguilla,Country/Area,2025,100,14.728,0,0.7333,0
ALB,Albania,Country/Area,2025,58.871474331067,1631.62762080347,1139.88037919653,-0.2045,-1.525
AND,Andorra,Country/Area,2025,88.9492672283129,73.7425005029605,9.16149949703947,1.1514,0.5011
ARE,United Arab Emirates,Country/Area,2025,85.9617641324017,9753.2217584623,1592.7782415377,2.4727,1.2925
ARG,Argentina,Country/Area,2025,92.3519221615173,42344.6289205431,3506.74907945693,0.4182,-0.667
ARM,Armenia,Country/Area,2025,65.9287015589872,1946.45590978199,1005.90909021801,-0.559,-1.0813
